# tracer: nop
#
# entries-in-buffer/entries-written: 311/211043   #P:9
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 inator.freemium-28057   [008] DNZff 1318392.155194: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155195: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155195: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155196: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155197: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155198: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155198: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155199: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155200: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155201: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155202: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155202: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155203: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155204: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155205: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155206: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155207: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155207: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155208: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155209: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155210: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155211: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155212: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155212: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155213: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155214: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155215: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155216: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155216: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155217: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155218: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155219: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155219: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155220: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155221: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155222: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155222: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155223: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155224: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155225: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155226: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155226: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155227: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155228: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155229: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155229: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155230: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155231: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155232: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155233: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155234: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155234: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155235: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155236: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155237: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155237: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155238: pairip_crash_pc: (0x7b66f8775c)
